Cell_Name_Vevo,drug,concentration,plate,tau,direction,positions,n,omega
A549,8-Hydroxyquinoline,0.050000000745058,4,0.5,opened,b5,1,12
A549,8-Hydroxyquinoline,0.5,5,0.5,opened,b5,1,12
A549,9-ING-41,0.5,2,0.5,opened,b2,1,12
A549,AZD1390,0.5,2,0.5,opened,b2,1,12
A549,Almonertinib (mesylate),5.0,13,0.5,opened,b2,1,12
A549,Alpelisib,5.0,3,0.5,opened,b2,1,12
A549,Amsacrine,5.0,6,0.5,opened,b2,1,12
A549,Amsacrine,5.0,14,0.5,opened,b2,1,12
A549,BI-3406,0.5,2,0.5,opened,b2|b5,2,24
A549,BI-3406,5.0,3,0.5,opened,b5,1,12
A549,Bentamapimod,5.0,3,0.5,opened,b5,1,12
A549,Bestatin (hydrochloride),0.5,11,0.5,opened,b5,1,12
A549,Binimetinib,0.5,2,0.5,opened,b2|b5,2,24
A549,Binimetinib,0.5,11,0.5,opened,b2|b5,2,24
A549,Binimetinib,5.0,3,0.5,opened,b2|b5,2,24
A549,Binimetinib,5.0,12,0.5,opened,b2|b5,2,24
A549,Cobimetinib,0.5,8,0.5,opened,b1|b2,2,24
A549,Diphenhydramine,0.5,8,0.5,opened,b2,1,12
A549,Elimusertib hydrochloride,0.050000000745058,1,0.5,opened,b2|b5,2,24
A549,Elimusertib hydrochloride,5.0,3,0.5,opened,b2,1,12
A549,GSK1059615,0.5,2,0.5,opened,b2,1,12
A549,Gallic acid (hydrate),0.050000000745058,4,0.5,opened,b2,1,12
A549,Infigratinib,0.050000000745058,1,0.5,opened,b2,1,12
A549,Irinotecan (hydrochloride),0.050000000745058,13,0.5,opened,b2,1,12
A549,Penfluridol,0.5,8,0.5,opened,b2,1,12
A549,RMC-6236,0.5,2,0.5,opened,b2|b5,2,24
A549,RMC-6236,5.0,3,0.5,opened,b5,1,12
A549,Sulfisoxazole,0.5,13,0.5,opened,b1,1,12
A549,Tirabrutinib (hydrochloride),0.5,11,0.5,opened,b1,1,12
A549,Topotecan (hydrochloride),0.5,8,0.5,opened,b1|b2,2,24
A549,Trametinib,0.5,2,0.5,opened,b2,1,12
A549,Trametinib (DMSO_TF solvate),5.0,9,0.5,opened,b5,1,12
A549,XRK3F2,0.5,2,0.5,opened,b2,1,12
A549,palbociclib,5.0,3,0.5,opened,b2,1,12
A549,venetoclax,0.050000000745058,1,0.5,opened,b2,1,12
AsPC-1,5-Fluorouracil,0.5,11,0.5,opened,b5,1,12
AsPC-1,8-Hydroxyquinoline,5.0,6,0.5,opened,b5,1,12
AsPC-1,AZD-7648,0.5,2,0.5,opened,b2,1,12
AsPC-1,AZD-8055,0.050000000745058,1,0.5,opened,b2,1,12
AsPC-1,AZD-8055,5.0,3,0.5,opened,b1,1,12
AsPC-1,Acetohexamide,0.5,5,0.5,opened,b2,1,12
AsPC-1,Afatinib,5.0,3,0.5,opened,b1|b2,2,24
AsPC-1,BI-3406,0.5,2,0.5,opened,b2|b5,2,24
AsPC-1,BI-3406,5.0,3,0.5,opened,b2|b5,2,24
AsPC-1,Bimiralisib,0.5,2,0.5,opened,b1|b2,2,24
AsPC-1,Bimiralisib,5.0,3,0.5,opened,b1|b2|b5,3,48
AsPC-1,Binimetinib,0.050000000745058,1,0.5,opened,b1|b2|b5,3,48
AsPC-1,Binimetinib,0.5,2,0.5,opened,b1|b2|b5,3,48
AsPC-1,Binimetinib,0.5,11,0.5,opened,b2|b5,2,24
AsPC-1,Binimetinib,5.0,3,0.5,opened,b5,1,12
AsPC-1,Binimetinib,5.0,12,0.5,opened,b2|b5,2,24
AsPC-1,Brimonidine,5.0,12,0.5,opened,b2,1,12
AsPC-1,Cabozantinib (S-malate),0.5,11,0.5,opened,b2,1,12
AsPC-1,Capmatinib,5.0,3,0.5,opened,b1,1,12
AsPC-1,Cobimetinib,5.0,9,0.5,opened,b1|b5,2,24
AsPC-1,Dabrafenib,0.5,2,0.5,opened,b5,1,12
AsPC-1,Dimethyl fumarate,0.050000000745058,7,0.5,opened,b2,1,12
AsPC-1,Diphenhydramine,0.5,8,0.5,opened,b2,1,12
AsPC-1,Elimusertib hydrochloride,0.050000000745058,1,0.5,opened,b1|b2|b5,3,48
AsPC-1,Elimusertib hydrochloride,0.5,2,0.5,opened,b2|b5,2,24
AsPC-1,Elimusertib hydrochloride,5.0,3,0.5,opened,b5,1,12
AsPC-1,GSK1059615,0.5,2,0.5,opened,b2,1,12
AsPC-1,HI-TOPK-032,0.5,2,0.5,opened,b2,1,12
AsPC-1,Idarubicin (hydrochloride),0.5,5,0.5,opened,b1,1,12
AsPC-1,Idoxuridine,0.5,11,0.5,opened,b2,1,12
AsPC-1,Ixazomib,5.0,3,0.5,opened,b2,1,12
AsPC-1,L-Eflornithine (monohydrochloride),5.0,12,0.5,opened,b5,1,12
AsPC-1,LJI308,0.5,2,0.5,opened,b1,1,12
AsPC-1,Medroxyprogesterone acetate,0.050000000745058,4,0.5,opened,b2,1,12
AsPC-1,Methotrexate,0.5,11,0.5,opened,b5,1,12
AsPC-1,Mitoxantrone (dihydrochloride),5.0,6,0.5,opened,b2,1,12
AsPC-1,Naproxen,5.0,9,0.5,opened,b1,1,12
AsPC-1,Nimesulide,0.050000000745058,13,0.5,opened,b2,1,12
AsPC-1,Paclitaxel,0.5,2,0.5,opened,b1|b5,2,24
AsPC-1,RMC-6236,0.5,2,0.5,opened,b2|b5,2,24
AsPC-1,RMC-6236,5.0,3,0.5,opened,b2|b5,2,24
AsPC-1,Selinexor ,0.050000000745058,4,0.5,opened,b1,1,12
AsPC-1,Sunitinib,5.0,12,0.5,opened,b2,1,12
AsPC-1,Trametinib,0.5,2,0.5,opened,b1|b2|b5,3,48
AsPC-1,Trametinib,0.5,11,0.5,opened,b2,1,12
AsPC-1,Trametinib,5.0,3,0.5,opened,b1|b2,2,24
AsPC-1,Trametinib,5.0,12,0.5,opened,b1|b2|b5,3,48
AsPC-1,Trametinib (DMSO_TF solvate),0.050000000745058,7,0.5,opened,b1|b2|b5,3,48
AsPC-1,Trametinib (DMSO_TF solvate),0.5,8,0.5,opened,b1|b5,2,24
AsPC-1,Trametinib (DMSO_TF solvate),5.0,9,0.5,opened,b1,1,12
AsPC-1,Triamcinolone,5.0,6,0.5,opened,b2,1,12
AsPC-1,ULK-101,0.5,2,0.5,opened,b5,1,12
AsPC-1,Vemurafenib,5.0,3,0.5,opened,b1,1,12
AsPC-1,c-Kit-IN-1,0.5,2,0.5,opened,b1,1,12
AsPC-1,palbociclib,5.0,3,0.5,opened,b2,1,12
CFPAC-1,(R)-Verapamil (hydrochloride),0.050000000745058,4,0.5,opened,b5,1,12
CFPAC-1,APTO-253,0.5,2,0.5,opened,b2,1,12
CFPAC-1,AZD-7648,0.5,2,0.5,opened,b2,1,12
CFPAC-1,AZD-7648,5.0,3,0.5,opened,b2|b5,2,24
CFPAC-1,AZD-8055,0.050000000745058,1,0.5,opened,b1|b5,2,24
CFPAC-1,AZD-8055,5.0,3,0.5,opened,b5,1,12
CFPAC-1,AZD1390,0.5,2,0.5,opened,b2,1,12
CFPAC-1,Adagrasib,0.050000000745058,5,0.5,opened,b1,1,12
CFPAC-1,Adagrasib,0.050000000745058,7,0.5,opened,b5,1,12
CFPAC-1,Afatinib,0.5,2,0.5,opened,b2|b5,2,24
CFPAC-1,Afatinib,5.0,3,0.5,opened,b5,1,12
CFPAC-1,Allantoin,0.5,5,0.5,opened,b5,1,12
CFPAC-1,Alpelisib,0.5,2,0.5,opened,b5,1,12
CFPAC-1,Amsacrine,0.5,5,0.5,opened,b1|b2,2,24
CFPAC-1,Azithromycin (hydrate),0.5,5,0.5,opened,b2,1,12
CFPAC-1,BI-3406,0.5,2,0.5,opened,b2|b5,2,24
CFPAC-1,BI-3406,5.0,3,0.5,opened,b5,1,12
CFPAC-1,BI-78D3,0.5,2,0.5,opened,b2,1,12
CFPAC-1,BI-78D3,5.0,3,0.5,opened,b5,1,12
CFPAC-1,Baicalin,0.050000000745058,4,0.5,opened,b1,1,12
CFPAC-1,Bentamapimod,0.050000000745058,1,0.5,opened,b5,1,12
CFPAC-1,Bentamapimod,0.5,2,0.5,opened,b2,1,12
CFPAC-1,Berberine (chloride hydrate),0.050000000745058,4,0.5,opened,b5,1,12
CFPAC-1,Betamethasone dipropionate,0.050000000745058,7,0.5,opened,b5,1,12
CFPAC-1,Bimiralisib,0.5,2,0.5,opened,b2,1,12
CFPAC-1,Bimiralisib,5.0,3,0.5,opened,b2|b5,2,24
CFPAC-1,Binimetinib,0.050000000745058,1,0.5,opened,b1|b5,2,24
CFPAC-1,Binimetinib,0.5,2,0.5,opened,b2|b5,2,24
CFPAC-1,Binimetinib,0.5,11,0.5,opened,b2|b5,2,24
CFPAC-1,Binimetinib,5.0,3,0.5,opened,b2|b5,2,24
CFPAC-1,Binimetinib,5.0,12,0.5,opened,b2|b5,2,24
CFPAC-1,Brivudine,0.050000000745058,1,0.5,opened,b5,1,12
CFPAC-1,CP21R7,0.5,2,0.5,opened,b2,1,12
CFPAC-1,Canagliflozin,0.5,8,0.5,opened,b2,1,12
CFPAC-1,Capmatinib,0.050000000745058,1,0.5,opened,b1,1,12
CFPAC-1,Capmatinib,0.5,2,0.5,opened,b5,1,12
CFPAC-1,Capmatinib,5.0,3,0.5,opened,b2,1,12
CFPAC-1,Carbamazepine,5.0,12,0.5,opened,b2,1,12
CFPAC-1,Chlorhexidine (diacetate),5.0,14,0.5,opened,b1,1,12
CFPAC-1,Cinacalcet,5.0,12,0.5,opened,b1,1,12
CFPAC-1,Cobimetinib,0.5,8,0.5,opened,b1,1,12
