Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,(R)-Verapamil (hydrochloride),0.050000000745058,4,b1,-0.25324662029743195,0.2992625878720015,-0.8462354820167124,0.397421391636411,0.7627241203627422
A549,(R)-Verapamil (hydrochloride),0.5,5,b1,-0.2240007882937788,0.26989847536497413,-0.8299446226618009,0.406570094111559,0.7673671561244603
A549,(R)-Verapamil (hydrochloride),5.0,6,b1,-0.2850742563605308,0.2522698123986387,-1.1300371362311645,0.25846057667365874,0.6561038123508288
A549,(R)-Verapamil (hydrochloride),5.0,14,b1,0.6187092512845993,0.5594610600675343,1.1059022610258398,0.2687688260585962,0.66608545334978
A549,(S)-Crizotinib,0.050000000745058,7,b1,-0.6955206115962937,0.4971471007127315,-1.39902377103108,0.16180585486210108,0.5502354957024644
A549,(S)-Crizotinib,0.5,8,b1,-0.0865213274955749,0.32151615522174787,-0.2691041370406461,0.7878495469327416,0.9405308954908462
A549,(S)-Crizotinib,5.0,9,b1,0.002499520778656006,0.4397450551584476,0.00568402247924172,0.9954648306410293,0.9987071700414049
A549,18β-Glycyrrhetinic acid,0.050000000745058,4,b1,0.009031593799591064,0.34293542514218983,0.02633613542796383,0.9789892329956399,0.9954453964005233
A549,18β-Glycyrrhetinic acid,0.5,5,b1,-0.5466293245553969,0.33396735439276126,-1.6367747247311342,0.10167754878124878,0.4550393546357411
A549,18β-Glycyrrhetinic acid,5.0,6,b1,-0.565829761326313,0.33935258455024037,-1.6673801440947718,0.09543883953600545,0.4432652832460611
A549,18β-Glycyrrhetinic acid,5.0,14,b1,0.6956160515546799,0.4922376098417816,1.413171276730093,0.15760536981712503,0.5446926175405878
A549,4EGI-1,0.050000000745058,1,b1,-0.4116533696651459,0.3085102016002459,-1.3343266042091808,0.1820968422959537,0.5758380316498052
A549,4EGI-1,0.5,2,b1,-0.36219204962253576,0.22865591289555334,-1.5840047389807923,0.11319264067536054,0.4779848460919142
A549,4EGI-1,5.0,3,b1,-0.8561502993106842,0.4525411026657717,-1.8918730127879715,0.05850790227405342,0.36200741541240844
A549,5-Azacytidine,0.050000000745058,10,b1,0.23517313599586487,0.3492321946745759,0.6734005042547856,0.5006925279110144,0.8194332965019372
A549,5-Azacytidine,0.5,11,b1,-0.8446434214711188,0.3625762717151119,-2.3295606672650186,0.01982938304647834,0.21987073575941712
A549,5-Azacytidine,5.0,12,b1,0.504001274704933,0.3304336510457865,1.525272238798391,0.12719120905467138,0.49996778745242043
A549,5-Fluorouracil,0.050000000745058,10,b1,-0.4051096446346491,0.30691682240993584,-1.319933008082435,0.18685738584097722,0.581398336205156
