gene_name,baseMean,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB1,103.40354919433594,0.21899203956127167,0.5639214515686035,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB5,71.08845520019531,0.008985213935375214,0.9876163601875305,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB6,80.06425476074219,-0.13085713982582092,0.7876024842262268,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB1,119.27555847167969,0.0599687397480011,0.8870783448219299,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB5,81.83638763427734,0.037814415991306305,0.9488992094993591,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB6,92.1303482055664,-0.37930989265441895,0.12642261385917664,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB1,109.23832702636719,-0.0076221018098294735,0.988654375076294,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB5,65.94359588623047,-0.7339804768562317,0.006410176400095224,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB6,91.29072570800781,-0.3195386230945587,0.22039836645126343,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB1,120.64481353759766,0.28026923537254333,0.28019580245018005,2105,4862,AT7519,0.05000000074505806,A549,1
PSMB5,86.27937316894531,0.14339114725589752,0.7076883316040039,2105,4862,AT7519,0.05000000074505806,A549,1
PSMB6,107.09680938720703,0.1374196857213974,0.7096433639526367,2105,4862,AT7519,0.05000000074505806,A549,1
PSMB1,110.79652404785156,-0.27865591645240784,0.367449015378952,1789,4862,AZD1390,0.05000000074505806,A549,1
PSMB5,78.78541564941406,-0.16141977906227112,0.6305031776428223,1789,4862,AZD1390,0.05000000074505806,A549,1
PSMB6,101.11151885986328,-0.4535450041294098,0.033084701746702194,1789,4862,AZD1390,0.05000000074505806,A549,1
PSMB1,122.1233139038086,0.3749222159385681,0.08662378787994385,1873,4862,AZD2858,0.05000000074505806,A549,1
PSMB5,87.45272064208984,0.2050672322511673,0.5438669919967651,1873,4862,AZD2858,0.05000000074505806,A549,1
PSMB6,90.25176239013672,-0.1882299929857254,0.7540322542190552,1873,4862,AZD2858,0.05000000074505806,A549,1
PSMB1,128.36770629882812,-0.04483325034379959,0.9012512564659119,1911,4862,AZD-7648,0.05000000074505806,A549,1
PSMB5,85.02320861816406,-0.3011508584022522,0.27563387155532837,1911,4862,AZD-7648,0.05000000074505806,A549,1
PSMB6,94.58917236328125,-0.5131945610046387,0.033878713846206665,1911,4862,AZD-7648,0.05000000074505806,A549,1
PSMB1,133.02731323242188,-0.007597843650728464,0.9893955588340759,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB5,94.67224884033203,0.12661904096603394,0.7242307066917419,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB6,101.1727523803711,-0.2501342296600342,0.5240488648414612,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB1,13.141946792602539,1.4119937419891357,0.27779898047447205,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB5,2.639348268508911,-0.09679960459470749,0.9755358695983887,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB6,2.9889206886291504,-0.2764306366443634,0.931060791015625,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB1,93.25731658935547,-0.21228069067001343,0.6542351841926575,1630,4862,Adagrasib,0.05000000074505806,A549,1
PSMB5,75.72482299804688,-0.18426279723644257,0.638410210609436,1630,4862,Adagrasib,0.05000000074505806,A549,1
