gene_name,baseMean,log2FoldChange,lfcSE,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB5,71.08845520019531,0.008985213935375214,0.1894616186618805,0.9876163601875305,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB6,80.06425476074219,-0.13085713982582092,0.1917521059513092,0.7876024842262268,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB10,15.46600341796875,-0.4410018026828766,0.42420920729637146,0.6476723551750183,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB5,81.83638763427734,0.037814415991306305,0.1884916126728058,0.9488992094993591,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB5,65.94359588623047,-0.7339804768562317,0.19985860586166382,0.006410176400095224,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB6,91.29072570800781,-0.3195386230945587,0.15693077445030212,0.22039836645126343,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB8,32.91193771362305,-0.36907055974006653,0.2705157995223999,0.4669031798839569,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB10,16.95305061340332,-0.2727808356285095,0.39845675230026245,0.7536465525627136,1624,4862,APTO-253,0.05000000074505806,A549,1
PSMB7,313.4725646972656,0.06467381864786148,0.10313846170902252,0.7963004112243652,2105,4862,AT7519,0.05000000074505806,A549,1
PSMB8,36.423362731933594,-0.09533315896987915,0.2866276800632477,0.900337278842926,2105,4862,AT7519,0.05000000074505806,A549,1
PSMB5,78.78541564941406,-0.16141977906227112,0.17268118262290955,0.6305031776428223,1789,4862,AZD1390,0.05000000074505806,A549,1
PSMB6,101.11151885986328,-0.4535450041294098,0.1545698195695877,0.033084701746702194,1789,4862,AZD1390,0.05000000074505806,A549,1
PSMB7,271.3226318359375,-0.18207046389579773,0.09478870034217834,0.2514989972114563,1873,4862,AZD2858,0.05000000074505806,A549,1
PSMB9,67.1201400756836,-0.18692170083522797,0.1841818243265152,0.6202796697616577,1873,4862,AZD2858,0.05000000074505806,A549,1
PSMB7,298.19537353515625,-0.4213366210460663,0.1178627610206604,0.00778405973687768,1911,4862,AZD-7648,0.05000000074505806,A549,1
PSMB9,63.513362884521484,-0.4689776301383972,0.2010081559419632,0.13552844524383545,1911,4862,AZD-7648,0.05000000074505806,A549,1
PSMB5,94.67224884033203,0.12661904096603394,0.15807242691516876,0.7242307066917419,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB6,101.1727523803711,-0.2501342296600342,0.20130027830600739,0.5240488648414612,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB10,29.109878540039062,0.6155746579170227,0.3906533420085907,0.385152131319046,2356,4862,AZD-8055,0.05000000074505806,A549,1
PSMB7,8.308720588684082,-1.7516496181488037,1.9354196786880493,0.5088462233543396,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB6,2.9889206886291504,-0.2764306366443634,1.936869740486145,0.931060791015625,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB8,1.0380584001541138,1.2499874830245972,1.9398444890975952,0.6566835641860962,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB10,0.6299484968185425,1.9717291593551636,1.9425604343414307,0.44958022236824036,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB9,1.8680567741394043,0.40206584334373474,1.9374299049377441,0.8978272080421448,1,4862,Abemaciclib,0.05000000074505806,A549,1
PSMB7,246.43150329589844,-0.1942014843225479,0.10502688586711884,0.33407825231552124,1630,4862,Adagrasib,0.05000000074505806,A549,1
PSMB9,59.70098114013672,-0.10145913809537888,0.18978257477283478,0.8476999402046204,1630,4862,Adagrasib,0.05000000074505806,A549,1
PSMB5,58.21416473388672,-0.21797731518745422,0.2038906067609787,0.6111823320388794,1118,4862,Afatinib,0.05000000074505806,A549,1
PSMB6,69.84469604492188,-0.2919715344905853,0.3129589855670929,0.6680158972740173,1118,4862,Afatinib,0.05000000074505806,A549,1
PSMB10,15.265238761901855,0.511177659034729,0.356932669878006,0.4576803743839264,1118,4862,Afatinib,0.05000000074505806,A549,1
PSMB7,189.6774444580078,-0.38738006353378296,0.1167132630944252,0.020869603380560875,1386,4862,Alpelisib,0.05000000074505806,A549,1
PSMB8,31.474456787109375,0.5085116624832153,0.25596126914024353,0.2471569925546646,1386,4862,Alpelisib,0.05000000074505806,A549,1
PSMB10,15.61526870727539,0.2867334485054016,0.3913019299507141,0.7519668340682983,1386,4862,Alpelisib,0.05000000074505806,A549,1
PSMB9,51.47230529785156,0.2605423331260681,0.2053307741880417,0.5177797675132751,1386,4862,Alpelisib,0.05000000074505806,A549,1
PSMB5,97.2723617553711,-0.01029337290674448,0.16603611409664154,0.984204113483429,2438,4862,Anastrozole,0.05000000074505806,A549,1
PSMB6,101.6695785522461,-0.7968553900718689,0.16099244356155396,3.531224501784891e-05,2438,4862,Anastrozole,0.05000000074505806,A549,1
PSMB8,41.14491653442383,-0.267530232667923,0.23210956156253815,0.5599997639656067,2438,4862,Anastrozole,0.05000000074505806,A549,1
PSMB10,16.851301193237305,-0.8702878355979919,0.4826835095882416,0.28735750913619995,2438,4862,Anastrozole,0.05000000074505806,A549,1
PSMB7,316.0830383300781,-0.21036434173583984,0.09304453432559967,0.143344447016716,2148,4862,BAY1125976,0.05000000074505806,A549,1
PSMB8,39.80974197387695,-0.2900363504886627,0.2374715358018875,0.5140534043312073,2148,4862,BAY1125976,0.05000000074505806,A549,1
PSMB10,21.189863204956055,-0.22526656091213226,0.3430003821849823,0.7654557824134827,2148,4862,BAY1125976,0.05000000074505806,A549,1
PSMB9,61.399658203125,-0.6440931558609009,0.19699999690055847,0.0171621423214674,2148,4862,BAY1125976,0.05000000074505806,A549,1
PSMB5,67.42082214355469,0.2181941568851471,0.21166285872459412,0.6168094873428345,1291,4862,BI-78D3,0.05000000074505806,A549,1
PSMB6,78.05023193359375,-0.16045726835727692,0.17113061249256134,0.6614762544631958,1291,4862,BI-78D3,0.05000000074505806,A549,1
PSMB10,14.980499267578125,-1.3458404541015625,0.46361827850341797,0.05262380838394165,1291,4862,BI-78D3,0.05000000074505806,A549,1
PSMB7,255.911376953125,-0.5137537717819214,0.09867852181196213,1.1972347238042857e-05,2002,4862,BI-3406,0.05000000074505806,A549,1
PSMB6,91.25494384765625,-0.04035799205303192,0.1733427196741104,0.9335514307022095,2002,4862,BI-3406,0.05000000074505806,A549,1
