line,drug,conc,plate,is_proteasome,lfc_b6,lfc_b5,lfc_b1,base_b6,base_b5,base_b1,padj_b6,padj_b5,padj_b1,spread,lowest,highest,induced,fdr_ok,N_eff,first_b1,first_b5,first_b6,base_rank_lowest
SW 900,Lonafarnib,5.0,3,False,0.0490393973886966,-4.07426118850708,-1.5797204971313477,14.431103706359863,4.551671504974365,3.896660804748535,0.9558957815170288,0.1285284012556076,,4.123300585895777,b5,b6,False,False,2.9604038411798,0.23419656037274497,0.04155745457352625,0.7242459850537287,2
HCT15,Dinaciclib,0.050000000745058,7,False,-0.7273876667022705,-2.6704587936401367,1.090425729751587,14.668156623840332,3.941235303878784,9.608236312866213,0.3292892575263977,0.2452657222747802,0.1209380403161048,3.7608845233917236,b5,b1,False,False,3.2111067528129396,0.7366930989438999,0.054343492996201975,0.20896340805989827,1
LoVo,TAK-901,5.0,3,False,0.6856954097747803,-0.608061671257019,-2.8282806873321533,163.3971405029297,73.09616088867188,31.025619506835938,1.897728729716164e-08,0.0011957951355725,6.313002204327845e-12,3.5139760971069336,b1,b6,False,True,3.363635677410571,0.05853606829326383,0.2727571032591517,0.6687068284475844,1
HT-29,Lonafarnib,5.0,3,False,-0.4760388731956482,0.4134172797203064,-3.0963335037231445,20.781787872314453,7.605228900909424,4.098842144012451,0.5494374632835388,0.6965927481651306,0.3233999907970428,3.509750783443451,b1,b5,False,False,3.3183428108964836,0.053939788941818036,0.6143975934305784,0.3316626176276035,1
HT-29,Selinexor ,5.0,14,False,-0.4875414371490478,0.7562874555587769,-2.691868782043457,50.83300018310547,17.159046173095703,5.957977771759033,0.1271060407161712,0.1221766546368599,0.0546246990561485,3.448156237602234,b1,b5,False,False,3.4098953927754025,0.0605218408838511,0.6605574372629277,0.27892072185322137,1
COLO 205,Digitoxin,5.0,12,False,1.2255178689956665,-0.2565502524375915,-2.167454242706299,33.72848129272461,7.979333400726318,3.529594898223877,4.0167935367207974e-05,0.7784343957901001,0.2489398568868637,3.3929721117019653,b1,b6,False,False,3.473481238660493,0.06550842321833433,0.2463409239709613,0.6881506528107042,1
RKO,Pemigatinib,0.5,2,False,0.2726731598377228,-0.9784537553787231,-3.1140716075897217,38.91969299316406,13.549015045166016,7.264848709106445,0.8761284947395325,0.7140864133834839,0.5325329899787903,3.3867447674274445,b1,b6,False,False,3.459254951889464,0.06307646791243743,0.27717394233091036,0.6597495897566521,1
MIA PaCa-2,Tofacitinib,5.0,14,False,0.065374456346035,-0.9532839059829712,2.362809181213379,43.11376953125,18.20062255859375,7.95460033416748,0.9345722794532776,0.2951363325119018,0.0033485139720141,3.31609308719635,b5,b1,False,False,3.525621961779452,0.76697129516073,0.07700796068116252,0.15602074415810738,2
COLO 205,Pralsetinib,5.0,3,False,-0.1735972315073013,-2.107274055480957,1.1716021299362185,9.333123207092283,3.105900764465332,7.608438968658447,0.8889693021774292,,0.2324921041727066,3.2788761854171753,b5,b1,False,False,3.555981310459539,0.6681683989190734,0.06884079037627046,0.26299081070465613,1
HCT15,Dinaciclib,5.0,9,False,-0.3622185587882995,-3.508877754211426,-0.2498140484094619,15.457240104675291,4.734921932220459,4.991701602935791,0.6274861693382263,0.2154856920242309,0.8629289269447327,3.259063705801964,b5,b1,False,False,3.318862199092794,0.4927324962327071,0.051467760598431084,0.45579974316886185,1
COLO 205,Baicalin,5.0,14,False,0.4581950604915619,-0.1802840679883957,-2.615196466445923,31.78443717956543,12.043739318847656,5.191819667816162,,,,3.0733915269374847,b1,b6,False,False,3.616916259970731,0.06745447513108906,0.36474759423942993,0.5677979306294811,1
COLO 205,NG25,5.0,3,False,0.4663082063198089,-2.435166120529175,-0.2578810453414917,15.226405143737791,5.951336860656738,8.172447204589844,0.6403913497924805,0.0765308514237403,0.8821112513542175,2.9014743268489838,b5,b6,False,False,3.7893388229985305,0.34806053603269754,0.0769531971339732,0.5749862668333292,1
COLO 205,Harringtonine,5.0,9,False,0.9578399658203124,-0.9038732051849364,1.9849282503128052,38.006591796875,10.28974151611328,15.05250072479248,0.0017262200126424,0.2109625786542892,0.0069279531016945,2.8888014554977417,b5,b1,False,False,3.85996756712056,0.615113907463329,0.08305000381272279,0.30183608872394835,1
COLO 205,TAK-901,5.0,3,False,1.0391439199447632,-0.6407567262649536,-1.8207411766052248,36.57773971557617,8.660754203796387,8.856736183166504,0.0013845154317095,0.4387232065200805,0.0021061520092189,2.859885096549988,b1,b6,False,True,3.923255497831462,0.09500900246937083,0.21526601551788307,0.6897249820127461,2
MIA PaCa-2,Homoharringtonine,5.0,6,False,0.1058672741055488,-2.677140474319458,-0.3677230179309845,44.499168395996094,13.64920139312744,12.682907104492188,0.801690399646759,0.0381217412650585,0.6770458817481995,2.783007748425007,b5,b6,False,False,3.829894247263997,0.3860552773007432,0.07788351912769949,0.5360612035715574,2
HCT15,Tofacitinib,5.0,14,False,-0.1778472810983657,1.1859561204910278,-1.5760418176651,38.4805793762207,12.127769470214844,4.797001361846924,0.8384668827056885,0.1835600286722183,,2.761997938156128,b1,b5,False,False,4.010495653097538,0.09597789920663938,0.6510516847483446,0.252970416045016,1
HT-29,TAK-901,5.0,3,False,0.727116048336029,-2.0292582511901855,-1.0284361839294434,94.33808135986328,12.874820709228516,17.08161163330078,0.0003004717291332,0.0004646228917408,0.1485365629196167,2.7563742995262146,b5,b6,False,True,4.004614325220134,0.20507475598048075,0.10247896744048494,0.6924462765790342,1
MIA PaCa-2,TAK-901,5.0,3,False,0.4904588460922241,-0.741010308265686,-2.259408712387085,49.16205978393555,22.49971580505371,11.246283531188965,0.0634849071502685,0.0517248772084713,0.0004306574701331,2.749867558479309,b1,b6,False,False,4.013698090853907,0.09441727406344236,0.27047985360415505,0.6351028723324027,1
AsPC-1,Dinaciclib,5.0,9,False,-1.548952579498291,-2.292844533920288,0.4037435948848724,12.618830680847168,4.030411243438721,9.0193510055542,0.0607277899980545,0.2164765447378158,0.6195990443229675,2.6965881288051605,b5,b1,False,False,4.024276602868372,0.707919283137584,0.10920180819258926,0.18287890866982665,1
COLO 205,PH-797804,5.0,3,False,0.8981660604476929,-1.4064284563064575,-1.787214279174805,24.41704559326172,7.466378211975098,3.79665470123291,0.0471699498593807,0.0722218379378318,0.114551305770874,2.6853803396224976,b1,b6,False,False,3.943318212674328,0.1144878096126839,0.14906895298036685,0.7364432374069492,1
Hs 766T,Selinexor ,5.0,14,False,0.7045224905014038,0.1854121536016464,-1.9598323106765747,12.360098838806152,4.803354740142822,1.0968527793884275,0.3297601342201233,0.9026030898094176,,2.6643548011779785,b1,b6,False,False,3.956505658527243,0.08501153550174517,0.37606316116104577,0.5389253033372091,1
HCT15,Alpelisib,5.0,3,False,-1.7495378255844116,0.9060649871826172,0.2281408756971359,8.829113960266113,5.576901912689209,4.4937825202941895,0.1230988875031471,0.4102268517017364,0.8865321278572083,2.655602812767029,b6,b5,False,False,4.0102576313124345,0.3504180636910878,0.5606114683913304,0.08897046791758186,3
HCT15,MK-3903,5.0,3,False,-0.1495689004659652,-2.478400945663452,-2.7902297973632812,14.796570777893066,5.761526107788086,2.4665305614471436,0.8860324025154114,0.0834599807858467,,2.640660896897316,b1,b6,False,False,3.962070578972879,0.11795995809060433,0.14642136373539086,0.7356186781740048,1
COLO 205,Idarubicin (hydrochloride),5.0,14,False,-1.6256028413772583,1.0111103057861328,-0.6063826680183411,15.486638069152832,14.74522876739502,5.110747337341309,0.0023871490266174,0.1753604710102081,0.739720344543457,2.636713147163391,b6,b5,False,False,4.1174853819065715,0.2192118781350663,0.6726327142031945,0.10815540766173926,3
MIA PaCa-2,Homoharringtonine,0.5,5,False,0.47279953956604,-2.155110120773315,-0.6481173038482666,53.3090934753418,17.78127670288086,14.657796859741213,0.1833657622337341,0.0159100629389286,0.4029062390327453,2.627909660339355,b5,b6,False,False,4.118964187850798,0.2835515758020779,0.09976587686527788,0.616682547332644,2
Hs 766T,TAK-901,5.0,3,False,0.0466599985957145,-1.4586540460586548,-2.571805238723755,26.36745834350586,11.771706581115724,8.041910171508789,0.9147195219993592,0.0073843160644173,0.0005074847140349,2.6184652373194695,b1,b6,False,False,4.140257891500509,0.10747902924193439,0.2324960794841092,0.6600248912739564,1
SHP-77,TAK-901,5.0,3,False,0.7621340155601501,-0.6094703674316406,-1.8480489253997805,31.98889541625977,21.647438049316406,15.16414737701416,0.0614255368709564,0.2120571881532669,0.0015061623416841,2.6101829409599304,b1,b6,False,False,4.150010257609118,0.10564715401354818,0.24929128727998046,0.6450615587064714,1
COLO 205,Pemigatinib,0.5,2,False,0.7393386363983154,-1.473853588104248,-1.8654866218566897,20.484663009643555,4.642829895019531,2.3417961597442627,0.5143536925315857,0.700859546661377,0.7303328514099121,2.604825258255005,b1,b6,False,False,4.022314984947167,0.11911773282250847,0.15626787602541514,0.7246143911520764,1
SHP-77,Dinaciclib,5.0,9,False,-3.5351028442382812,-2.314610004425049,-0.9316108822822572,6.582197666168213,6.510222911834717,9.006643295288086,0.2320818603038787,0.280423641204834,0.4837979972362518,2.603491961956024,b6,b1,False,False,4.156217566228079,0.6460112554487707,0.24769421582683898,0.10629452872439024,2
Hs 766T,GSK1059615,5.0,3,False,-0.6737967133522034,-1.3507819175720217,-3.258131980895996,29.57047462463379,16.08902359008789,12.312698364257812,0.1591729670763015,0.0306928511708974,6.468780497925763e-07,2.5843352675437927,b1,b6,False,False,4.080220266317521,0.09303548921879479,0.34899421411494314,0.5579702966662621,1
SHP-77,Belzutifan,0.050000000745058,1,False,-1.0590893030166626,-3.632190704345703,-1.6881954669952393,11.989933013916016,5.322160720825195,6.565937042236328,0.4735398292541504,0.3819648623466491,0.4654377102851867,2.5731014013290405,b5,b6,False,False,4.07847598843984,0.3563154166434588,0.0926048506028243,0.5510797327537169,1
HCT15,ULK-101,5.0,3,False,0.5752390027046204,-1.9591144323349,-1.1992318630218506,16.87454605102539,4.63082218170166,3.128793716430664,0.4948513209819793,,,2.5343534350395203,b5,b6,False,False,4.182355956131161,0.19953430645209963,0.11783386671508086,0.6826318268328195,2
HCT15,PH-797804,5.0,3,False,-0.3854878544807434,0.3482289314270019,-2.177272319793701,20.081920623779297,8.20902156829834,2.673086643218994,0.5985192656517029,0.7147786617279053,,2.525501251220703,b1,b5,False,False,4.153308638075216,0.09784579382496508,0.5633700973874967,0.33878410878753823,1
RKO,Belzutifan,0.050000000745058,1,False,1.0512399673461914,-1.4639718532562256,-0.5122672319412231,38.40802383422851,9.735491752624512,9.420658111572266,0.0720235556364059,0.5516124367713928,0.7900500893592834,2.515211820602417,b5,b6,False,False,4.22697035008251,0.22357678555387278,0.11559394079372548,0.6608292736524016,2
COLO 205,Binimetinib,5.0,3,False,0.6784628033638,-1.0062462091445925,1.4857497215270996,9.917431831359863,4.079389572143555,4.143342971801758,0.3902192711830139,,,2.491995930671692,b5,b1,False,False,4.203728431008092,0.5716847891024316,0.10162278971111599,0.3266924211864524,1
Hs 766T,Gallic acid,0.050000000745058,4,False,-0.1432070136070251,-2.616772174835205,-0.518246054649353,34.9677734375,9.879441261291504,10.775726318359377,0.8311629891395569,0.011605049483478,0.6316036581993103,2.47356516122818,b5,b6,False,False,4.096091019507448,0.3951989150617613,0.09227763062487819,0.5125234543133605,1
RKO,Homoharringtonine,0.5,5,False,0.4155272245407104,-2.0541584491729736,-0.2066909670829773,76.80443572998047,26.226186752319336,32.89986801147461,0.0917297527194023,0.0009176299208775,0.674686849117279,2.469685673713684,b5,b6,False,False,4.180673475985626,0.3549724884270089,0.09863966007143037,0.5463878515015608,1
COLO 205,MK-3903,5.0,3,False,-0.050927922129631,-2.002790689468384,0.428141176700592,9.305193901062012,4.292300224304199,3.4877231121063232,0.9666019082069396,,,2.430931866168976,b5,b1,False,False,4.176101827207218,0.5255175480331615,0.0974549298921366,0.3770275220747018,2
