gene_name,baseMean,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,concentration_unit,Cell_Name_Vevo,plate
PSMB1,103.40355,0.21899204,0.56392145,1378,4862,4EGI-1,0.05,uM,A549,1
PSMB5,71.088455,0.008985214,0.98761636,1378,4862,4EGI-1,0.05,uM,A549,1
PSMB6,80.064255,-0.13085714,0.7876025,1378,4862,4EGI-1,0.05,uM,A549,1
PSMB1,119.27556,0.05996874,0.88707834,2165,4862,9-ING-41,0.05,uM,A549,1
PSMB5,81.83639,0.037814416,0.9488992,2165,4862,9-ING-41,0.05,uM,A549,1
PSMB6,92.13035,-0.3793099,0.12642261,2165,4862,9-ING-41,0.05,uM,A549,1
PSMB1,109.23833,-0.007622102,0.9886544,1624,4862,APTO-253,0.05,uM,A549,1
PSMB5,65.943596,-0.7339805,0.0064101764,1624,4862,APTO-253,0.05,uM,A549,1
PSMB6,91.290726,-0.31953862,0.22039837,1624,4862,APTO-253,0.05,uM,A549,1
PSMB1,120.64481,0.28026924,0.2801958,2105,4862,AT7519,0.05,uM,A549,1
PSMB5,86.27937,0.14339115,0.70768833,2105,4862,AT7519,0.05,uM,A549,1
PSMB6,107.09681,0.13741969,0.70964336,2105,4862,AT7519,0.05,uM,A549,1
PSMB1,110.796524,-0.27865592,0.36744902,1789,4862,AZD1390,0.05,uM,A549,1
PSMB5,78.785416,-0.16141978,0.6305032,1789,4862,AZD1390,0.05,uM,A549,1
PSMB6,101.11152,-0.453545,0.0330847,1789,4862,AZD1390,0.05,uM,A549,1
PSMB1,122.123314,0.37492222,0.08662379,1873,4862,AZD2858,0.05,uM,A549,1
PSMB5,87.45272,0.20506723,0.543867,1873,4862,AZD2858,0.05,uM,A549,1
PSMB6,90.25176,-0.18823,0.75403225,1873,4862,AZD2858,0.05,uM,A549,1
PSMB1,128.3677,-0.04483325,0.90125126,1911,4862,AZD-7648,0.05,uM,A549,1
PSMB5,85.02321,-0.30115086,0.27563387,1911,4862,AZD-7648,0.05,uM,A549,1
PSMB6,94.58917,-0.51319456,0.033878714,1911,4862,AZD-7648,0.05,uM,A549,1
PSMB1,133.02731,-0.0075978437,0.98939556,2356,4862,AZD-8055,0.05,uM,A549,1
PSMB5,94.67225,0.12661904,0.7242307,2356,4862,AZD-8055,0.05,uM,A549,1
PSMB6,101.17275,-0.25013423,0.52404886,2356,4862,AZD-8055,0.05,uM,A549,1
PSMB1,13.141947,1.4119937,0.27779898,1,4862,Abemaciclib,0.05,uM,A549,1
PSMB5,2.6393483,-0.096799605,0.97553587,1,4862,Abemaciclib,0.05,uM,A549,1
PSMB6,2.9889207,-0.27643064,0.9310608,1,4862,Abemaciclib,0.05,uM,A549,1
PSMB1,93.25732,-0.21228069,0.6542352,1630,4862,Adagrasib,0.05,uM,A549,1
PSMB5,75.72482,-0.1842628,0.6384102,1630,4862,Adagrasib,0.05,uM,A549,1
PSMB6,89.94725,-0.16730736,0.71571374,1630,4862,Adagrasib,0.05,uM,A549,1
PSMB1,99.08929,0.23091629,0.49385378,1118,4862,Afatinib,0.05,uM,A549,1
