gene_name,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate,su
PSMB1,0.6498639,0.00010199628,1069,4862,Bortezomib,0.05,A549,1,b6
PSMB5,0.88404715,1.26399415e-08,1069,4862,Bortezomib,0.05,A549,1,b5
PSMB6,1.0131973,1.0050255e-08,1069,4862,Bortezomib,0.05,A549,1,b1
PSMB1,0.24465555,0.40747982,904,4862,Ixazomib,0.05,A549,1,b6
PSMB5,0.3692165,0.35403308,904,4862,Ixazomib,0.05,A549,1,b5
PSMB6,0.07496916,0.8448895,904,4862,Ixazomib,0.05,A549,1,b1
PSMB1,0.43534338,0.00036132283,2288,7080,Bortezomib,0.5,A549,2,b6
PSMB5,0.914549,1.1814179e-10,2288,7080,Bortezomib,0.5,A549,2,b5
PSMB6,1.1200656,1.7521046e-18,2288,7080,Bortezomib,0.5,A549,2,b1
PSMB1,-0.17495325,0.2957174,3536,7080,Ixazomib,0.5,A549,2,b6
PSMB5,0.11377324,0.67365044,3536,7080,Ixazomib,0.5,A549,2,b5
PSMB6,0.45934656,0.0032215838,3536,7080,Ixazomib,0.5,A549,2,b1
PSMB1,0.40340948,0.30859742,366,2138,Bortezomib,5.0,A549,3,b6
PSMB5,-0.013791488,0.9796477,366,2138,Bortezomib,5.0,A549,3,b5
PSMB6,0.6216644,0.05702542,366,2138,Bortezomib,5.0,A549,3,b1
PSMB1,0.59449047,0.065807275,710,2138,Ixazomib,5.0,A549,3,b6
PSMB5,-0.2198148,0.6813056,710,2138,Ixazomib,5.0,A549,3,b5
PSMB6,0.53413624,0.2743137,710,2138,Ixazomib,5.0,A549,3,b1
PSMB1,0.38243428,0.07073994,1584,4967,Ixazomib citrate,0.05,A549,10,b6
PSMB5,0.27576223,0.5894002,1584,4967,Ixazomib citrate,0.05,A549,10,b5
PSMB6,0.16928701,0.7311587,1584,4967,Ixazomib citrate,0.05,A549,10,b1
PSMB1,0.6050856,9.675206e-06,1565,4846,Ixazomib citrate,0.5,A549,11,b6
PSMB5,1.4887823,9.7946696e-14,1565,4846,Ixazomib citrate,0.5,A549,11,b5
PSMB6,1.3394889,2.6707715e-21,1565,4846,Ixazomib citrate,0.5,A549,11,b1
PSMB1,0.44518578,0.019377584,1364,4023,Ixazomib citrate,5.0,A549,12,b6
PSMB5,1.4157187,5.5508014e-14,1364,4023,Ixazomib citrate,5.0,A549,12,b5
PSMB6,1.2193913,4.4435772e-14,1364,4023,Ixazomib citrate,5.0,A549,12,b1
PSMB1,1.179978,2.4603708e-10,1023,3255,Bortezomib,0.05,COLO 205,1,b6
PSMB5,2.1496794,1.359366e-22,1023,3255,Bortezomib,0.05,COLO 205,1,b5
PSMB6,2.6633186,5.846919e-23,1023,3255,Bortezomib,0.05,COLO 205,1,b1
PSMB1,0.26371282,0.5202448,879,3255,Ixazomib,0.05,COLO 205,1,b6
PSMB5,0.26340777,0.66900706,879,3255,Ixazomib,0.05,COLO 205,1,b5
PSMB6,-0.045113556,0.9605837,879,3255,Ixazomib,0.05,COLO 205,1,b1
PSMB1,0.8923663,1.3426691e-06,1580,3767,Bortezomib,0.5,COLO 205,2,b6
PSMB5,1.6745266,1.2113404e-16,1580,3767,Bortezomib,0.5,COLO 205,2,b5
PSMB6,2.2202494,3.22427e-13,1580,3767,Bortezomib,0.5,COLO 205,2,b1
PSMB1,-0.54123914,0.05211936,2055,3767,Ixazomib,0.5,COLO 205,2,b6
PSMB5,0.28798002,0.61840004,2055,3767,Ixazomib,0.5,COLO 205,2,b5
PSMB6,0.32052654,0.598398,2055,3767,Ixazomib,0.5,COLO 205,2,b1
PSMB1,0.5275893,0.33285767,365,644,Bortezomib,5.0,COLO 205,3,b6
